cluster_id	cluster_size	sample	background	enrichment_pvalue_zbinom	enrichment_fdr_zbinom	log_fold_change	vdjdb	method	log10_pval	significant	label
201	61	46	15	1.5987211554602254e-14	2.1680179950606806e-13	0.4686326869599714	False	dbscan	9.999930573971904	True	sign
202	53	32	21	0.0307065116218572	0.2389972687837726	0.1648967979324681	False	dbscan	1.5127695168683783	False	no
203	3	2	1	0.3482826792732019	0.577852023925714	0.2829961098004243	False	dbscan	0.45806812312914513	False	no
204	6	3	3	0.9426590447322928	0.9533072890071262	-0.0180338856464095	False	dbscan	0.025645361052359813	False	no
205	65	36	29	0.2939102532526134	0.577852023925714	0.0758706172190096	False	dbscan	0.531785262866527	False	no
206	4	2	2	0.9531679471538768	0.9533072890071262	-0.0180338856464095	False	dbscan	0.020830570359175883	False	no
207	6	4	2	0.184697357672078	0.577852023925714	0.282996109908998	False	dbscan	0.7335393174087805	False	no
208	30	18	12	0.1205092315211746	0.4681479822802023	0.1580573733972079	False	dbscan	0.9189796826445731	False	no
209	3	1	2	0.4524670455558064	0.577852023925714	-0.3190638810932435	False	dbscan	0.34441304609637197	False	no
210	3	1	2	0.4524670455558064	0.577852023925714	-0.3190638810932435	False	dbscan	0.34441304609637197	False	no
211	3	2	1	0.3482826792732019	0.577852023925714	0.2829961098004243	False	dbscan	0.45806812312914513	False	no
212	3	3	0	0.0	0.0	9.459087369218018	True	dbscan	10.0	True	sign_vdjdb
213	47	30	17	0.0035336320423411	0.0331267271507466	0.2286384476839086	False	dbscan	2.4517786633370866	True	sign
214	6	3	3	0.9426590447322928	0.9533072890071262	-0.0180338856464095	False	dbscan	0.025645361052359813	False	no
215	3	2	1	0.3482826792732019	0.577852023925714	0.2829961098004243	False	dbscan	0.45806812312914513	False	no
216	3	2	1	0.3482826792732019	0.577852023925714	0.2829961098004243	False	dbscan	0.45806812312914513	False	no
217	3	1	2	0.4524670455558064	0.577852023925714	-0.3190638810932435	False	dbscan	0.34441304609637197	False	no
218	4	2	2	0.9531679471538768	0.9533072890071262	-0.0180338856464095	False	dbscan	0.020830570359175883	False	no
219	4	2	2	0.9531679471538768	0.9533072890071262	-0.0180338856464095	False	dbscan	0.020830570359175883	False	no
220	3	3	0	0.0	0.0	9.459087369218018	False	dbscan	10.0	True	sign
221	3	1	2	0.4524670455558064	0.577852023925714	-0.3190638810932435	False	dbscan	0.34441304609637197	False	no
222	126	66	60	0.6620688273048039	0.7568160203852659	0.0233587995111574	False	dbscan	0.17909685979242712	False	no
223	3	2	1	0.3482826792732019	0.577852023925714	0.2829961098004243	False	dbscan	0.45806812312914513	False	no
224	5	1	4	0.1206037884628892	0.4681479822802023	-0.620093876648651	False	dbscan	0.9186390493591022	False	no
225	5	4	1	0.0037695179546672	0.0331267271507466	0.5840261053558319	False	dbscan	2.4237141722287663	True	sign
226	3	1	2	0.4524670455558064	0.577852023925714	-0.3190638810932435	False	dbscan	0.34441304609637197	False	no
227	3	2	1	0.3482826792732019	0.577852023925714	0.2829961098004243	False	dbscan	0.45806812312914513	False	no
228	3	1	2	0.4524670455558064	0.577852023925714	-0.3190638810932435	False	dbscan	0.34441304609637197	False	no
229	3	2	1	0.3482826792732019	0.577852023925714	0.2829961098004243	False	dbscan	0.45806812312914513	False	no
230	4	2	2	0.9531679471538768	0.9533072890071262	-0.0180338856464095	False	dbscan	0.020830570359175883	False	no
231	3	2	1	0.3482826792732019	0.577852023925714	0.2829961098004243	False	dbscan	0.45806812312914513	False	no
232	4	3	1	0.0551898422586101	0.2792761137664801	0.4590873687837232	False	dbscan	1.2581408464290929	False	no
233	3	1	2	0.4524670455558064	0.577852023925714	-0.3190638810932435	False	dbscan	0.34441304609637197	False	no
234	6	3	3	0.9426590447322928	0.9533072890071262	-0.0180338856464095	False	dbscan	0.025645361052359813	False	no
235	3	2	1	0.3482826792732019	0.577852023925714	0.2829961098004243	False	dbscan	0.45806812312914513	False	no
236	3	2	1	0.3482826792732019	0.577852023925714	0.2829961098004243	False	dbscan	0.45806812312914513	False	no
237	3	1	2	0.4524670455558064	0.577852023925714	-0.3190638810932435	False	dbscan	0.34441304609637197	False	no
238	3	1	2	0.4524670455558064	0.577852023925714	-0.3190638810932435	False	dbscan	0.34441304609637197	False	no
239	4	3	1	0.0551898422586101	0.2792761137664801	0.4590873687837232	False	dbscan	1.2581408464290929	False	no
240	34	11	23	0.0080484192487619	0.0670685265412973	-0.3383690364851784	False	dbscan	2.094289403547012	False	no
241	3	1	2	0.4524670455558064	0.577852023925714	-0.3190638810932435	False	dbscan	0.34441304609637197	False	no
242	16	3	13	0.0041528691157513	0.0364488185444676	-0.6548559831222264	False	dbscan	2.3816517456952964	False	no
243	3	2	1	0.3482826792732019	0.577852023925714	0.2829961098004243	False	dbscan	0.45806812312914513	False	no
244	3	2	1	0.3482826792732019	0.577852023925714	0.2829961098004243	False	dbscan	0.45806812312914513	False	no
245	3	1	2	0.4524670455558064	0.577852023925714	-0.3190638810932435	False	dbscan	0.34441304609637197	False	no
246	3	1	2	0.4524670455558064	0.577852023925714	-0.3190638810932435	False	dbscan	0.34441304609637197	False	no
247	3	1	2	0.4524670455558064	0.577852023925714	-0.3190638810932435	False	dbscan	0.34441304609637197	False	no
248	7	4	3	0.6216157912186258	0.7124785450866524	0.1069048509256991	False	dbscan	0.206477961395961	False	no
249	7	3	4	0.5667901285051478	0.6599769660740309	-0.1429726222185183	False	dbscan	0.24657772216777668	False	no
250	7	7	0	0.0	0.0	9.82706415442989	False	dbscan	10.0	True	sign
251	4	2	2	0.9531679471538768	0.9533072890071262	-0.0180338856464095	False	dbscan	0.020830570359175883	False	no
252	3	2	1	0.3482826792732019	0.577852023925714	0.2829961098004243	False	dbscan	0.45806812312914513	False	no
253	7	4	3	0.6216157912186258	0.7124785450866524	0.1069048509256991	False	dbscan	0.206477961395961	False	no
